,clust,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Total Claim Amount
124,0,33555,63,17,11,0,1,101.89645
125,0,42780,113,10,27,1,2,542.4
126,0,58850,78,20,26,0,1,143.747794
127,0,21880,97,29,37,0,1,424.077159
128,0,25251,66,13,43,0,2,316.8
129,0,0,69,9,12,0,2,2.704934
130,0,24188,109,14,82,0,1,523.2
131,2,41611,74,14,8,0,8,113.801497
132,2,28406,72,16,35,1,4,192.87572
133,0,69833,118,32,99,0,1,828.662719
134,0,0,74,15,91,0,2,532.8
135,0,0,117,6,1,0,1,975.107098
136,0,80536,119,5,83,0,3,53.798708
137,0,0,63,2,5,0,1,606.642452
138,0,97732,79,0,70,0,2,289.9122
139,0,61222,89,20,55,0,2,392.604371
140,0,0,74,7,20,0,1,721.242206
141,0,50335,140,9,54,0,1,456.52385
142,0,0,127,30,11,0,6,1087.995426
143,1,63221,168,28,49,0,1,806.4
144,0,0,96,31,34,0,1,460.8
145,0,64495,92,34,30,0,1,251.992083
146,0,0,72,7,75,0,2,345.6
147,2,28859,67,24,51,3,4,321.6
148,0,77330,99,0,21,0,3,99.257608
149,0,0,105,3,92,0,1,504.0
150,0,24495,70,29,65,0,1,336.0
151,2,95697,107,29,29,0,9,178.006524
152,0,26372,126,11,7,0,1,604.8
153,0,17514,127,2,5,0,3,8.312729
154,0,89270,74,17,90,0,1,316.599228
155,0,29757,65,13,55,0,1,312.0
156,0,51814,92,28,89,0,1,56.300724
157,0,24028,82,14,27,0,2,393.6
158,0,28142,105,18,50,0,1,701.708239
159,0,52705,64,14,8,1,2,128.705563
160,0,0,63,1,5,0,1,679.368378
161,0,84903,111,7,63,0,1,497.126827
162,0,0,118,14,64,0,4,566.4
163,0,24910,63,7,63,1,1,347.857619
164,0,0,77,15,12,2,2,554.4
165,0,21876,68,12,28,0,2,465.41477
166,0,0,69,33,61,1,2,496.8
167,2,0,61,17,1,1,7,292.8
168,0,70699,82,1,57,0,2,256.813837
169,0,0,74,11,85,1,2,355.2
170,0,27501,63,20,0,0,1,542.319401
171,0,15897,101,30,99,0,2,303.148399
172,0,25141,73,12,4,1,2,25.438063
173,0,0,61,5,46,3,1,292.8
174,2,51066,74,23,0,0,8,787.993313
175,0,28358,117,24,37,0,1,84.024413
176,0,61846,112,1,48,0,1,215.8182
177,2,90972,74,3,47,0,8,232.926145
178,0,0,74,3,95,0,7,532.8
179,0,29549,104,17,51,0,1,710.433775
180,0,0,115,12,17,1,2,552.0
181,1,39411,217,4,29,2,4,1122.658899
182,0,21709,62,28,17,0,3,408.374746
183,0,67890,85,23,57,0,2,408.0
184,0,0,110,3,16,0,1,792.0
185,0,84311,111,11,98,4,2,532.8
186,0,99316,114,26,53,0,1,754.358929
187,0,54507,138,20,11,0,1,702.990032
188,0,64586,76,3,17,0,1,206.837111
189,2,61709,82,5,41,2,7,275.395894
190,0,94656,111,12,79,1,1,459.738128
191,0,0,69,5,40,0,1,496.8
192,0,61085,70,27,34,1,1,336.0
193,0,89284,67,7,31,3,2,321.6
194,0,0,63,6,12,0,2,302.4
195,0,31686,81,11,33,0,1,430.994107
196,1,56855,255,12,1,0,1,1836.0
197,0,53703,67,3,45,2,1,67.632476
198,0,0,96,12,35,1,2,844.481918
199,0,20396,76,15,60,1,4,364.8
200,0,27679,150,30,28,0,3,722.486994
201,0,23904,123,1,67,3,1,590.4
202,0,65351,69,4,54,0,1,481.027516
203,2,0,113,20,1,0,7,1124.427734
204,2,0,63,0,54,3,7,669.682001
205,0,0,116,14,35,0,2,1284.093173
206,0,64459,72,16,64,0,1,240.259479
207,1,32961,190,13,53,0,3,912.0
208,0,71416,116,10,0,0,3,556.8
209,0,68964,78,15,6,0,3,115.086827
210,0,78108,98,12,34,0,1,470.4
211,2,10621,67,28,22,0,5,321.6
212,0,84910,95,4,69,0,2,383.167471
213,0,77493,70,2,35,0,3,307.963291
214,0,81097,74,7,67,0,1,355.2
215,0,96610,85,6,23,0,3,520.364752
216,0,30110,159,20,71,0,1,466.436375
217,0,22081,84,1,9,0,6,451.670309
218,0,0,112,12,93,0,3,537.6
219,0,98473,72,19,69,0,1,345.6
220,0,97431,74,1,72,0,3,355.2
221,2,93870,69,1,96,0,8,331.2
222,2,50366,72,9,5,0,9,428.734656
223,2,34498,83,30,72,0,7,398.4
224,0,16552,103,23,53,0,2,494.4
225,0,26787,77,7,50,0,5,369.6
226,2,0,74,2,42,0,9,831.752839
227,0,43860,65,15,58,0,1,156.124914
228,2,21474,114,13,72,2,9,373.428187
229,2,18174,66,8,16,0,9,395.934815
230,0,0,73,18,45,0,5,350.4
231,0,60920,64,10,61,0,2,231.201886
232,0,41520,90,18,70,0,2,289.904105
233,0,0,152,12,89,0,1,729.6
234,2,0,68,19,16,0,8,326.4
235,2,72208,73,3,84,0,8,350.4
236,0,53863,63,12,30,0,2,105.765111
237,0,66446,136,8,77,0,3,639.464548
238,0,0,61,18,26,0,1,292.8
239,0,64997,63,7,99,1,1,383.442328
240,0,64460,66,18,42,0,3,316.8
241,0,46618,67,22,77,0,2,99.085943
242,0,0,64,13,64,0,4,307.2
243,0,49988,84,6,37,5,5,566.935022
244,0,0,91,2,8,5,1,436.8
245,0,16269,86,6,84,0,1,412.8
246,0,72006,64,4,38,0,3,307.2
247,0,0,81,3,60,2,2,388.8
248,1,0,245,34,83,0,1,2345.413441
249,0,44320,67,13,79,0,2,321.6
250,0,19782,108,13,66,0,1,773.470977
251,0,63933,70,35,98,0,2,424.883448
252,2,28224,109,13,13,0,8,523.2
253,0,21073,106,25,54,1,3,508.8
254,2,63243,77,21,73,0,3,364.240307
255,0,20993,133,35,90,0,1,638.4
256,0,94827,135,5,64,0,4,354.729129
257,2,39161,63,18,83,1,4,283.995953
258,0,37534,84,2,0,2,2,403.2
259,0,80210,65,30,28,0,1,20.543176
260,0,0,62,32,59,0,2,385.115437
261,2,30110,64,2,4,0,5,140.165035
262,0,21708,68,28,77,0,2,326.4
263,0,94731,67,23,65,0,4,321.6
264,0,32375,83,17,83,0,6,398.4
265,0,16531,63,0,40,0,4,102.879769
266,0,32006,94,28,7,0,2,56.868289
267,2,81676,72,21,86,0,8,463.158502
268,0,71038,86,15,56,0,3,205.444066
269,0,0,103,20,43,0,1,741.6
270,0,20832,65,8,32,0,2,56.371967
271,2,0,113,19,10,0,7,813.6
272,0,52405,103,2,27,0,1,494.4
273,0,0,133,3,89,0,1,795.864079
274,0,26583,128,6,46,4,1,614.4
275,0,25486,65,15,53,0,3,72.438681
276,2,24065,111,30,1,0,5,532.8
277,2,70435,116,0,50,0,4,67.881546
278,0,0,76,33,36,2,2,402.636829
279,0,39679,92,2,85,0,1,641.388616
280,0,0,89,13,45,0,5,342.481173
281,0,0,69,21,70,4,3,331.2
282,2,53565,71,27,34,1,6,340.8
283,0,37574,66,19,14,1,1,412.101933
284,0,48259,108,14,79,0,3,73.700573
285,0,78532,78,25,87,0,3,374.4
286,0,96163,73,23,90,0,3,350.4
287,2,0,72,0,86,0,7,345.6
288,0,0,114,9,72,1,5,722.024742
289,0,72672,63,7,39,0,5,259.361117
290,2,99002,112,33,75,1,8,537.6
291,0,79494,91,19,30,0,3,396.295614
292,1,35704,225,21,35,0,8,358.281562
293,0,0,71,6,5,0,3,653.388564
294,2,26049,118,17,6,0,6,121.032372
295,0,70125,64,21,77,0,1,92.813396
296,0,52369,110,34,49,1,2,528.0
297,0,0,66,25,51,2,1,159.636956
298,2,41770,72,0,60,0,9,476.156957
299,2,0,101,16,88,0,8,727.2
300,0,31911,67,33,27,0,1,321.6
301,2,70051,68,15,69,0,8,42.078345
302,2,19683,117,17,41,1,9,561.6
303,0,30916,112,7,65,0,2,200.11606
304,0,0,80,24,95,0,1,676.944023
305,0,0,118,14,64,0,4,566.4
306,0,0,116,0,45,0,2,830.623064
307,0,60145,132,8,28,0,3,580.473259
308,0,63774,111,18,63,0,1,60.036683
309,2,25134,67,3,0,0,6,321.6
310,2,37057,61,5,48,1,6,47.53101
311,0,58577,110,6,62,0,1,303.872752
312,2,85857,73,3,19,0,6,100.620067
313,0,70602,116,8,47,0,3,481.339891
314,0,33816,106,10,97,2,3,508.8
315,0,0,153,7,75,0,2,1101.6
316,0,89642,121,11,20,4,1,86.320022
317,0,60068,98,17,75,0,1,470.4
318,0,50044,139,16,14,0,1,667.2
319,0,36650,69,2,70,1,1,56.60333
320,0,50653,110,29,42,0,1,262.865172
321,2,68931,66,32,30,0,7,309.577946
322,0,0,73,14,39,1,1,350.4
323,0,0,73,1,22,0,5,365.364581
324,0,39266,80,33,31,0,2,384.0
325,0,0,102,35,48,0,2,489.6
326,0,0,98,24,11,1,2,705.6
327,0,40864,65,2,75,0,1,9.51528
328,0,39035,68,15,65,0,1,244.564334
329,0,34923,98,23,82,0,2,639.105556
330,0,0,63,1,56,0,1,453.6
331,2,0,111,27,36,0,9,532.8
332,0,24506,71,7,47,0,1,511.2
333,0,0,82,25,63,0,2,554.522969
334,0,52220,70,17,42,1,5,336.0
335,0,0,74,17,73,0,1,402.449823
336,0,53554,67,6,5,0,2,327.020539
337,0,34476,67,23,49,1,3,5.3953
338,0,0,70,1,11,0,5,131.401291
339,0,68205,76,35,14,0,1,99.382943
340,2,0,119,6,48,1,8,856.8
341,0,53690,154,20,97,0,2,739.2
342,0,0,72,2,22,0,5,518.4
343,0,0,61,28,31,0,1,292.8
344,0,74454,71,25,29,0,3,340.8
345,0,0,73,23,91,0,2,350.4
346,0,29664,71,1,69,0,3,340.8
347,2,15680,64,20,29,0,8,260.879903
348,0,47272,79,17,17,3,2,64.546877
349,0,21585,92,35,61,0,1,441.6
350,0,23827,106,18,77,2,3,37.910623
351,0,69906,74,34,32,2,2,202.860399
352,0,0,72,7,77,0,1,345.6
353,0,89879,63,17,20,0,3,94.030308
354,0,0,69,9,89,0,1,331.2
355,0,46131,74,27,28,0,1,355.2
356,0,54514,109,5,36,3,1,286.234931
357,0,0,161,29,1,0,1,1159.2
358,0,96668,66,2,95,0,3,316.8
359,0,78879,69,9,67,1,4,466.570791
360,0,0,69,21,86,0,2,331.2
361,0,0,76,8,44,0,3,364.8
362,0,0,112,28,30,0,2,1252.406235
363,0,29735,69,3,92,0,1,331.2
364,2,23082,65,18,90,0,7,312.0
365,0,53984,80,15,62,0,1,421.484456
366,2,52135,156,6,86,0,9,430.505942
367,0,17576,71,29,70,0,1,398.502948
368,0,29486,62,19,73,0,1,7.646763
369,0,58557,88,4,83,0,1,55.510526
370,2,25632,63,27,52,0,7,351.270869
371,2,0,112,7,42,0,9,806.4
372,0,18768,68,19,53,3,3,647.454583
373,0,33190,106,18,95,0,2,508.8
374,0,47945,74,32,39,0,3,128.43823
375,0,58778,126,6,62,0,2,302.033971
376,0,15192,100,1,7,0,1,480.0
377,1,51859,171,0,21,0,1,1003.160633
378,0,23422,72,25,76,0,3,518.4
379,0,21604,79,14,28,0,1,379.2
380,0,79298,90,22,2,0,1,244.362072
381,0,76731,64,2,68,0,1,201.455005
382,0,67282,62,29,27,0,1,297.6
383,2,48534,115,29,79,1,2,552.0
384,0,77678,116,32,81,0,1,741.418485
385,0,48412,104,15,23,0,2,707.430832
386,0,33837,72,29,54,4,1,305.575785
387,0,23712,85,2,20,0,3,376.126419
388,0,28142,105,18,50,0,1,701.708239
389,0,72196,68,8,61,0,2,152.184244
390,0,68197,69,1,81,0,3,176.819414
391,0,75248,63,13,71,0,5,104.454624
392,0,0,98,9,50,0,2,941.718054
393,0,0,65,5,19,1,1,468.0
394,0,41546,111,4,47,0,3,121.306839
395,0,46998,96,13,98,0,6,460.8
396,0,57099,67,20,37,0,1,67.859881
397,2,33897,114,15,67,0,8,539.843003
398,0,59207,116,23,21,0,2,556.8
399,0,40171,73,8,78,0,1,350.4
400,2,67798,69,1,78,0,9,331.2
401,0,21665,136,0,25,0,1,765.709629
402,0,0,87,9,75,0,2,626.4
403,2,0,67,12,67,5,7,321.6
404,0,34226,244,29,22,0,2,494.395024
405,0,65989,123,4,43,1,2,115.545086
406,0,30686,61,22,45,0,3,19.938981
407,0,0,113,15,6,0,2,799.926741
408,0,20090,109,10,59,0,2,523.2
409,0,0,183,6,16,0,2,878.4
410,0,77094,176,25,29,0,5,444.470676
411,2,97413,73,21,80,0,6,268.819985
412,2,79189,69,6,97,0,4,331.2
413,0,0,62,5,31,0,1,297.6
414,2,18577,86,21,76,0,6,412.8
415,0,0,112,7,34,1,1,806.4
416,2,40783,67,13,43,1,9,321.6
417,0,0,74,34,51,0,4,532.8
418,1,17483,183,24,63,0,1,1317.6
419,0,84394,114,9,38,0,1,691.412378
420,0,0,127,3,93,0,3,804.811859
421,0,41440,62,20,80,1,2,297.6
422,2,0,136,14,69,1,8,1090.86434
423,0,98132,71,10,61,0,3,50.587035
424,0,0,112,4,49,0,1,537.6
425,0,88220,230,28,63,0,2,151.528482
426,0,58327,129,31,5,0,3,347.075948
427,0,25950,66,27,1,0,2,271.697529
428,0,20993,133,35,90,0,1,638.4
429,2,65726,177,35,90,0,7,849.6
430,0,0,63,35,59,3,3,639.45899
431,0,39783,72,28,43,0,1,345.6
432,0,58842,110,6,74,0,1,528.0
433,2,25629,124,3,70,2,6,595.2
434,0,48567,130,12,15,0,1,624.0
435,1,0,196,0,73,2,1,1337.063487
436,0,33746,74,1,6,1,1,355.2
437,0,22254,79,22,75,0,2,125.194389
438,0,65974,113,3,43,0,3,235.220971
439,0,0,76,18,63,0,3,395.34111
440,0,17161,113,1,22,1,1,542.4
441,2,0,74,1,62,0,7,772.798511
442,0,0,132,9,85,0,6,633.6
443,0,0,73,9,14,0,2,350.4
444,0,67752,131,4,40,4,9,168.517149
445,2,25398,64,30,80,0,6,307.2
446,0,0,88,30,19,0,4,633.6
447,2,33321,105,6,2,0,3,504.0
448,0,0,78,13,32,0,1,845.654042
449,0,68798,114,19,69,0,1,92.915251
450,0,20325,100,4,6,0,1,668.29397
451,0,13129,117,15,93,0,6,700.901632
452,2,0,73,24,57,0,4,525.6
453,0,49080,91,14,68,0,1,25.299
454,2,42536,63,30,57,0,6,375.330097
455,0,29926,74,25,34,0,1,418.233667
456,0,0,86,5,55,0,1,398.240791
457,1,21450,138,15,35,0,4,938.513425
458,0,33345,65,32,52,0,2,338.619869
459,0,15752,90,27,37,0,2,339.344531
460,0,40169,65,1,47,1,3,302.818833
461,2,26049,113,10,15,1,9,619.165344
462,0,0,68,3,4,0,1,326.4
463,0,55411,100,24,53,0,4,259.561195
464,0,12459,70,4,41,0,1,336.0
465,0,64620,76,24,32,1,2,364.8
466,0,83140,61,25,70,0,1,179.161843
467,0,0,92,20,50,0,1,662.4
468,2,54422,68,9,8,0,5,75.501852
469,2,68309,131,4,67,0,9,306.983596
470,0,56621,65,27,36,2,1,84.026848
471,0,38977,70,27,22,0,1,139.489926
472,0,0,111,32,13,0,3,607.4459
473,0,0,114,12,43,0,1,631.124372
474,2,0,83,35,87,0,8,628.023494
475,0,83235,70,16,33,0,2,336.0
476,0,0,74,7,93,0,2,426.655599
477,2,32390,80,20,36,0,8,91.417923
478,0,66538,95,14,64,0,2,317.844812
479,0,0,64,12,24,0,1,460.8
480,0,76358,66,25,3,0,2,86.461582
481,0,43860,65,15,58,0,1,156.124914
482,2,55350,67,0,13,0,9,321.6
483,0,12964,65,2,37,0,4,362.774545
484,2,33288,86,1,27,2,9,221.856184
485,0,0,84,31,25,0,3,980.169081
486,0,56168,88,13,20,0,1,614.675906
487,0,0,92,3,28,0,4,662.4
488,2,23105,69,15,21,0,3,331.2
489,0,36218,68,6,83,0,1,145.252168
490,0,52275,62,6,88,0,5,374.240783
491,0,49665,74,5,51,0,2,355.2
492,0,32471,110,0,87,0,1,528.0
493,0,0,86,12,89,1,2,619.2
494,2,62773,73,19,57,0,9,80.669257
495,0,76694,117,34,23,0,1,561.6
496,1,55687,276,33,91,0,1,1324.8
497,0,0,70,20,81,0,1,504.0
498,0,36633,96,20,61,1,1,460.8
499,0,77060,106,23,90,0,2,468.566133
500,0,92600,94,9,48,0,1,842.43785
501,0,0,66,2,75,0,2,475.2
502,0,0,111,6,24,2,1,1171.93117
503,0,64801,64,23,19,0,2,268.471802
504,0,45257,103,33,90,0,4,494.4
505,0,26854,66,31,70,0,1,475.2
506,0,85840,102,14,79,2,4,138.722385
507,0,26463,72,28,93,0,2,345.6
508,2,30689,81,23,51,0,5,467.24802
509,0,29590,66,17,18,0,1,467.503236
510,1,25965,253,15,59,0,1,1214.4
511,2,17269,139,3,31,0,5,667.2
512,0,90330,137,0,86,3,2,192.085299
513,2,0,113,34,5,0,8,619.973889
514,2,0,110,20,66,0,7,1002.782553
515,0,0,67,2,49,1,3,321.6
516,0,18558,80,17,23,0,1,384.0
517,0,46384,113,33,93,0,1,251.774574
518,0,0,72,1,77,0,2,866.208321
519,1,42303,180,24,66,0,1,1210.920949
520,0,71731,130,12,50,0,2,599.648466
521,2,51066,74,23,0,0,8,787.993313
522,1,0,203,20,66,0,2,2027.724442
523,2,0,86,19,93,3,5,619.2
524,2,0,69,16,45,0,6,72.852047
525,2,26173,68,2,10,1,9,449.819671
526,0,24445,63,18,15,0,2,302.4
527,0,72302,66,6,27,0,1,316.8
528,0,27208,102,10,65,0,1,489.6
529,0,36650,69,2,70,1,1,56.60333
530,2,30855,68,7,15,0,7,259.060862
531,2,0,95,13,20,0,5,456.0
532,0,99960,76,19,83,0,4,364.8
533,0,0,98,1,15,0,2,470.4
534,2,55873,88,30,19,0,6,299.356083
535,0,18052,111,5,71,0,1,699.1679
536,2,28937,104,28,23,2,6,117.959654
537,0,0,86,34,80,0,5,545.240341
538,0,0,73,9,94,0,2,350.4
539,2,12829,118,33,1,0,9,328.231432
540,2,92163,73,3,79,0,6,66.568642
541,1,17588,192,24,92,0,2,1382.4
542,0,82302,106,11,92,0,1,722.178166
543,0,0,127,19,40,0,2,609.6
544,0,70340,113,5,56,0,1,542.4
545,0,0,74,35,59,0,1,532.8
546,0,50825,102,3,46,0,3,369.614729
547,0,93459,99,9,85,0,5,655.41333
548,0,86148,65,19,51,2,4,312.0
549,0,27048,72,5,85,0,4,345.6
550,0,73259,115,7,31,0,4,673.34265
551,0,35482,129,21,59,0,3,619.2
552,0,29462,107,28,23,1,1,513.6
553,0,67801,115,12,45,1,1,23.810491
554,0,0,94,34,59,4,1,451.2
555,2,16042,73,33,58,0,9,350.4
556,2,28056,64,32,41,1,8,307.2
557,0,16495,85,25,75,3,1,408.0
558,0,41163,108,11,66,0,3,231.922173
559,2,0,161,3,71,1,9,772.8
560,0,33799,109,28,52,3,2,664.980242
561,0,0,61,17,71,3,2,292.8
562,0,87747,147,3,87,1,1,46.492039
563,0,35695,90,2,7,0,1,432.0
564,0,90985,87,33,39,0,1,78.085149
565,0,0,101,19,16,0,1,564.466556
566,0,66839,154,33,24,0,1,739.2
567,0,0,165,16,43,0,3,792.0
568,0,79090,107,2,74,0,3,289.040734
569,0,24825,64,34,44,0,1,155.938593
570,0,26806,63,32,19,0,2,302.4
571,0,56835,67,25,16,0,3,326.549425
572,2,0,88,12,54,0,6,653.65668
573,0,46135,69,12,68,0,1,103.935601
574,0,0,73,21,87,0,4,809.532341
575,0,22862,67,9,40,0,2,321.6
576,0,21450,110,8,80,2,3,528.0
577,0,95854,65,16,78,0,1,312.0
578,2,44897,99,22,46,1,7,580.72531
579,0,54040,103,14,88,0,4,59.987126
580,0,53265,62,12,27,0,3,238.005074
581,1,0,198,18,55,1,1,1577.674417
582,0,43817,62,25,12,1,2,245.447622
583,2,54780,88,22,72,3,5,135.26125
584,2,0,119,9,8,0,3,571.2
585,2,67798,69,1,78,0,9,331.2
586,0,21442,118,32,84,0,3,566.4
587,0,27615,62,19,18,1,1,297.6
588,0,17622,65,1,36,1,3,312.0
589,0,50200,135,23,98,0,1,637.063458
590,0,0,112,3,51,2,1,537.6
591,0,0,96,31,34,0,1,460.8
592,0,73570,70,0,46,1,1,75.936096
593,0,0,111,4,85,0,1,799.2
594,2,0,106,11,15,0,6,603.058114
595,0,36631,62,30,77,0,1,67.530904
596,0,35895,73,11,51,0,1,312.921256
597,0,40864,109,16,70,1,1,166.937747
598,0,0,118,15,77,0,4,566.4
599,0,93018,63,5,90,0,3,135.382194
600,0,70014,62,6,4,0,2,17.742954
601,0,48875,61,20,9,0,1,1.838367
602,0,67969,74,11,14,0,2,197.776009
603,0,0,108,8,55,0,2,612.102262
604,2,68665,69,33,67,0,7,331.2
605,0,26802,66,7,43,1,5,316.8
606,2,0,110,6,37,0,6,1193.036154
607,0,45345,125,0,73,0,2,600.0
608,0,17101,113,1,88,0,2,542.4
609,1,32051,193,4,40,1,1,926.4
610,0,81139,74,22,69,0,3,392.6364
611,0,63834,100,23,19,1,3,215.226476
612,0,37548,81,12,9,0,3,160.598662
613,0,0,69,28,28,3,2,371.803029
614,0,72421,65,8,23,0,1,312.0
615,0,83102,116,15,35,0,1,443.670399
616,0,28432,118,1,59,0,2,612.300581
617,2,83707,108,2,72,0,7,290.391526
618,2,63259,65,25,14,0,7,316.795337
619,2,0,67,18,73,0,8,405.527937
620,0,63860,62,26,81,0,1,208.598246
621,2,67176,72,20,90,0,9,345.6
622,0,86132,68,30,10,0,3,301.437365
623,0,28519,66,1,56,0,1,456.473115
624,0,39102,88,11,98,0,2,152.338562
625,0,0,89,17,56,0,1,491.755368
626,0,97298,128,16,38,0,2,48.517439
627,2,41986,84,25,31,2,5,430.375049
628,0,0,88,6,47,0,2,633.6
629,0,17291,73,3,25,0,5,350.4
630,0,0,74,0,52,0,2,246.489123
631,0,37256,62,15,7,0,2,128.969729
632,2,96306,95,12,17,1,6,185.355353
633,1,14290,271,20,40,0,1,1300.8
634,0,37038,71,6,97,1,1,9.071305
635,0,90760,103,5,7,2,1,133.475315
636,0,20668,188,34,54,3,2,902.4
637,0,54480,67,19,91,0,1,321.6
638,0,16244,68,4,85,0,1,623.223617
639,2,22436,89,24,21,0,3,427.2
640,0,25544,68,18,30,0,1,326.4
641,0,28728,67,8,10,0,1,321.6
642,0,57449,103,6,28,0,2,494.4
643,0,83318,73,21,42,0,1,211.336937
644,0,55561,63,2,79,0,2,227.872071
645,0,0,102,18,32,5,1,862.762957
646,2,55308,107,17,74,0,6,513.6
647,0,36068,97,0,10,0,2,113.367765
648,0,48804,112,1,4,1,2,537.6
